s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,89656.6231825,43128.5183804,-1.9222517,-0.0913609,8.9500107,-1.6000000
0.7806032,89656.3176673,43127.8000477,-2.0190845,-0.1086880,8.8093565,-1.6000000
1.6375046,89655.9141379,43127.0441085,-2.1014923,-0.1268980,8.6523221,2.5000000
2.5521898,89655.4216919,43126.2732999,-2.1793164,-0.0943304,8.9126934,2.5000000
3.4891389,89654.8564710,43125.5260389,-2.2619096,-0.0909491,9.1717419,2.5000000
4.4336116,89654.2236096,43124.8249577,-2.3506201,-0.0906865,9.4256677,2.5000000
5.3863861,89653.5237838,43124.1784106,-2.4403673,-0.0905040,9.6750754,2.5000000
6.3474716,89652.7627635,43123.5914408,-2.5277541,-0.0888240,9.9203081,2.5000000
7.3148661,89651.9488192,43123.0686151,-2.6122573,-0.0859865,10.1611754,2.5000000
8.2872720,89651.0898819,43122.6127641,-2.6940397,-0.0830142,10.3976687,2.5000000
9.2644689,89650.1926597,43122.2255872,-2.7733919,-0.0805763,10.6300282,2.5000000
10.2468575,89649.2630309,43121.9079747,-2.8505596,-0.0790956,10.8586114,1.3149552
11.2332310,89648.3080576,43121.6610768,-2.9263482,-0.0788349,10.9774093,-0.7066371
12.2188265,89647.3379406,43121.4870897,-3.0022888,-0.0797568,10.9137802,-1.1148227
13.1973611,89646.3643801,43121.3885500,-3.0801773,-0.0812450,10.8133627,-0.6469345
14.1657233,89645.3962426,43121.3676896,3.1225232,-0.0821250,10.7552722,0.6001306
15.1261656,89644.4375297,43121.4252986,3.0400555,-0.0813147,10.8087308,2.4048293
16.0846534,89643.4888445,43121.5620296,2.9591595,-0.0782278,11.0199211,2.5000000
17.0481867,89642.5488553,43121.7737294,2.8837124,-0.0728677,11.2363841,2.5000000
18.0224132,89641.6163859,43122.0558962,2.8152471,-0.0659583,11.4510899,2.5000000
19.0094844,89640.6920430,43122.4021614,2.7544390,-0.0586733,11.6645967,2.5000000
20.0074355,89639.7790304,43122.8050440,2.7007444,-0.0519375,11.8765555,2.5000000
21.0114363,89638.8820726,43123.2561365,2.6531693,-0.0461834,12.0860488,2.5000000
22.0154095,89638.0062879,43123.7470166,2.6105502,-0.0414406,12.2919665,2.5000000
23.0141735,89637.1555063,43124.2701803,2.5718816,-0.0374442,12.4934487,0.0825260
24.0062170,89636.3302002,43124.8206530,2.5366079,-0.0339219,12.5000000,0.0000000
24.9945266,89635.5268741,43125.3963464,2.5046101,-0.0307370,12.5000000,0.0000000
25.9841202,89634.7403585,43125.9969200,2.4760775,-0.0278363,12.5000000,0.0000000
26.9790984,89633.9659511,43126.6216399,2.4504180,-0.0252805,12.5000000,0.0000000
27.9817224,89633.2013270,43127.2701805,2.4268093,-0.0232381,12.5000000,0.0000000
28.9919520,89632.4458702,43127.9408882,2.4048506,-0.0217817,12.5000000,0.0000000
30.0063587,89631.7018424,43128.6304123,2.3839063,-0.0208009,12.5000000,0.0000000
31.0192486,89630.9732633,43129.3340590,2.3635108,-0.0201368,12.5000000,0.0000000
32.0266384,89630.2629491,43130.0484033,2.3434510,-0.0196172,12.5000000,0.0000000
33.0287738,89629.5706064,43130.7729287,2.3238035,-0.0190608,12.5000000,0.0000000
34.0285557,89628.8940304,43131.5090052,2.3047787,-0.0183441,12.5000000,0.0000000
35.0287325,89628.2310285,43132.2578592,2.2866195,-0.0174204,12.5000000,-1.4914341
36.0312560,89627.5798321,43133.0200904,2.2695116,-0.0163142,12.3798063,-1.6000000
37.0375008,89626.9389635,43133.7958586,2.2535933,-0.0150964,12.2490661,-1.6000000
38.0475533,89626.3076555,43134.5843103,2.2389825,-0.0138546,12.1164126,-1.6000000
39.0596422,89625.6861496,43135.3830933,2.2257149,-0.0126650,11.9820186,-1.6000000
40.0709275,89625.0752536,43136.1890114,2.2136828,-0.0115835,11.8462085,-1.6000000
41.0789474,89624.4755796,43136.9992553,2.2026943,-0.0106397,11.7092695,-1.6000000
42.0823218,89623.8871851,43137.8119989,2.1925765,-0.0098319,11.5713523,-1.6000000
43.0807032,89623.3096044,43138.6263490,2.1832104,-0.0091375,11.4324701,-1.6000000
44.0746546,89622.7419152,43139.4422341,2.1745103,-0.0085434,11.2925076,-1.6000000
45.0655198,89622.1828262,43140.2603008,2.1664096,-0.0080865,11.1512313,-1.6000000
46.0550931,89621.6308650,43141.0816376,2.1588087,-0.0078924,11.0083298,-1.6000000
47.0450993,89621.0847446,43141.9073886,2.1515179,-0.0081104,10.8634850,-1.6000000
48.0367252,89620.5436944,43142.7384041,2.1440471,-0.0088137,10.7164408,-1.6000000
49.0304660,89620.0079572,43143.5753667,2.1354418,-0.0100114,10.5670305,-1.6000000
50.0264241,89619.4789860,43144.4192398,2.1250369,-0.0116580,10.4151364,-1.6000000
51.0247015,89618.9584125,43145.2710386,2.1126180,-0.0136195,10.2606325,-1.6000000
52.0253709,89618.4481573,43146.1318398,2.0980281,-0.0157373,10.1033874,-1.6000000
53.0282235,89617.9503855,43147.0024354,2.0811984,-0.0179197,9.9433047,-1.6000000
54.0329360,89617.4674448,43147.8834663,2.0620829,-0.0201246,9.7802980,-1.6000000
55.0394587,89617.0016125,43148.7757041,2.0406859,-0.0223340,9.6142268,-1.6000000
56.0481094,89616.5550566,43149.6801178,2.0170302,-0.0245719,9.4448755,-1.6000000
57.0593498,89616.1299524,43150.5976654,1.9911256,-0.0269277,9.2719849,-1.6000000
58.0734370,89615.7286748,43151.5289812,1.9628953,-0.0295656,9.0953079,-1.6000000
59.0897456,89615.3541634,43152.4737691,1.9320521,-0.0327107,8.9147315,-1.6000000
60.1058641,89615.0104087,43153.4299750,1.8980164,-0.0366248,8.7304558,-1.6000000
61.1174618,89614.7025360,43154.3935850,1.8599738,-0.0415581,8.5430525,-1.6000000
62.1191445,89614.4364104,43155.3592689,1.8169590,-0.0476852,8.3533443,-1.6000000
63.1054115,89614.2182316,43156.3211008,1.7679329,-0.0551484,8.1622489,-1.6000000
64.0716964,89614.0541106,43157.2733459,1.7119874,-0.0643144,7.9705831,-1.6000000
65.0157154,89613.9495285,43158.2115540,1.6484288,-0.0760851,7.7787746,-1.6000000
65.9368550,89613.9095417,43159.1318253,1.5760876,-0.0918499,7.5869419,-1.6000000
66.8318399,89613.9399261,43160.0262943,1.4920759,-0.1126647,7.3957918,-1.6000000
67.6922915,89614.0474439,43160.8800021,1.3914983,-0.1379622,7.2072388,-1.6000000
68.5114759,89614.2390116,43161.6764723,1.2693812,-0.1652938,7.0230265,-1.6000000
69.2943073,89614.5219740,43162.4063746,1.1245519,-0.1913438,6.8423563,-1.6000000
70.0561050,89614.9036448,43163.0656644,0.9614598,-0.2126833,6.6618382,-1.6000000
