s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 3833.2038499, 73770.7637002, -1.0423327, 0.0017863, 5.0000000, 0.0000000
1.0006316, 3833.6658611, 73769.8761150, -1.0899693, 0.0008932, 5.0000000, 0.0000000
2.0012631, 3834.1286658, 73768.9889423, -1.0899693, 0.0000000, 5.0000000, 0.0000000
3.0018947, 3834.5914705, 73768.1017696, -1.0899693, -0.0001767, 5.0000000, 0.0000000
4.0025263, 3835.0541183, 73767.2145152, -1.0904190, -0.0003689, 5.0000000, 0.0000000
5.0031578, 3835.5164386, 73766.3270900, -1.0905152, 0.0000000, 5.0000000, 0.0000000
6.0037894, 3835.9787589, 73765.4396648, -1.0905152, 0.0000151, 5.0000000, 0.0000000
7.0044210, 3836.4410927, 73764.5522466, -1.0902028, 0.0005790, 5.0000000, 0.0000000
8.0050526, 3836.9039405, 73763.6650965, -1.0899206, 0.0000000, 5.0000000, 0.0000000
9.0056841, 3837.3667884, 73762.7779463, -1.0899394, -0.0002041, 5.0000000, 0.0000000
10.0063157, 3837.8294550, 73761.8907016, -1.0902917, -0.0001667, 5.0000000, 0.0000000
11.0069473, 3838.2919737, 73761.0033798, -1.0902917, 0.0000000, 5.0000000, 0.0000000
12.0075788, 3838.7544923, 73760.1160580, -1.0902917, -0.0002939, 5.0000000, 0.0000000
13.0082104, 3839.2167499, 73759.2286002, -1.0903195, 0.0009668, 5.0000000, 0.0000000
14.0088420, 3839.6798658, 73758.3415901, -1.0894779, 0.0001405, 5.0000000, 0.0000000
15.0094735, 3840.1431063, 73757.4546450, -1.0894779, -0.0005135, 5.0000000, 0.0000000
16.0101051, 3840.6058910, 73756.5674621, -1.0906560, -0.0008140, 5.0000000, 0.0000000
17.0107367, 3841.0679530, 73755.6799024, -1.0908063, -0.0000000, 5.0000000, 0.0000000
18.0113682, 3841.5300150, 73754.7923426, -1.0908063, 0.0000399, 5.0000000, 0.0000000
19.0119998, 3841.9921124, 73753.9048014, -1.0904728, 0.0005468, 5.0000000, 0.0000000
20.0126314, 3842.4546953, 73753.0175131, -1.0902193, 0.0000000, 5.0000000, 0.0000000
21.0132629, 3842.9172783, 73752.1302247, -1.0902425, -0.0001431, 5.0000000, 0.0000000
22.0138945, 3843.3797341, 73751.2428702, -1.0904591, -0.0000966, 5.0000000, 0.0000000
23.0145261, 3843.8421042, 73750.3554709, -1.0904591, 0.0000000, 5.0000000, 0.0000000
24.0151577, 3844.3044743, 73749.4680717, -1.0904591, 0.0001142, 5.0000000, 0.0000000
25.0157892, 3844.7669457, 73748.5807253, -1.0901390, 0.0002974, 5.0000000, 0.0000000
26.0164208, 3845.2296812, 73747.6935165, -1.0900473, 0.0000000, 5.0000000, 0.0000000
27.0170524, 3845.6924167, 73746.8063077, -1.0900473, -0.0000000, 5.0000000, 0.0000000
28.0176839, 3846.1551522, 73745.9190989, -1.0901640, -0.0132052, 5.0000000, 0.0000000
29.0183155, 3846.6060593, 73745.0259776, -1.1215065, -0.0640859, 5.0000000, 0.0000000
30.0189471, 3846.9981593, 73744.1070996, -1.2328030, -0.1265155, 5.0000000, 0.0000000
31.0195786, 3847.2712848, 73743.1455099, -1.3463375, -0.1096590, 5.0000000, 0.0000000
32.0202102, 3847.4374253, 73742.1597842, -1.4638125, -0.1099343, 5.0000000, 0.0000000
33.0208418, 3847.4943176, 73741.1617200, -1.5730625, -0.1075649, 5.0000000, 0.0000000
34.0214733, 3847.4436797, 73740.1630207, -1.6830839, -0.1167614, 5.0000000, 0.0000000
35.0221049, 3847.2770627, 73739.1769271, -1.7922609, -0.1148784, 5.0000000, 0.0000000
36.0227365, 3846.9985768, 73738.2165806, -1.9041903, -0.1107281, 5.0000000, 0.0000000
37.0233680, 3846.6157139, 73737.2929959, -2.0122047, -0.1094413, 5.0000000, 0.0000000
38.0239996, 3846.1342611, 73736.4169659, -2.1306077, -0.1086966, 5.0000000, 0.0000000
39.0246312, 3845.5605017, 73735.5983754, -2.2424723, -0.1115397, 5.0000000, 0.0000000
40.0252628, 3844.8990705, 73734.8486910, -2.3278800, -0.0681084, 5.0000000, 0.0000000
41.0258943, 3844.1886402, 73734.1464373, -2.4412966, -0.1317622, 5.0000000, 0.0000000
42.0265259, 3843.3910174, 73733.5423196, -2.5047096, -0.0454644, 5.0000000, 0.0000000
43.0271575, 3842.5676531, 73732.9757708, -2.6059641, -0.1170852, 5.0000000, 0.0000000
44.0277890, 3841.6828371, 73732.5085658, -2.6612412, -0.0047042, 5.0000000, 0.0000000
45.0284206, 3840.7957945, 73732.0455118, -2.6604846, -0.0000000, 5.0000000, 0.0000000
46.0290522, 3839.9087519, 73731.5824578, -2.6604777, 0.0000181, 5.0000000, 0.0000000
47.0296837, 3839.0217177, 73731.1193878, -2.6604624, 0.0000041, 5.0000000, 0.0000000
48.0303153, 3838.1346854, 73730.6563142, -2.6604624, -0.0000023, 5.0000000, 0.0000000
49.0309469, 3837.2476520, 73730.1932425, -2.6604847, -0.0000377, 5.0000000, 0.0000000
50.0315784, 3836.3606012, 73729.7302043, -2.6605024, 0.0000000, 5.0000000, 0.0000000
51.0322100, 3835.4735504, 73729.2671661, -2.6605016, 0.0000129, 5.0000000, 0.0000000
52.0328416, 3834.5865055, 73728.8041165, -2.6604783, 0.0000112, 5.0000000, 0.0000000
53.0334732, 3833.6994659, 73728.3410568, -2.6604783, -0.0000000, 5.0000000, 0.0000000
54.0341047, 3832.8124262, 73727.8779972, -2.6605582, -0.0002240, 5.0000000, 0.0000000
55.0347363, 3831.9252828, 73727.4151364, -2.6607668, -0.0000643, 5.0000000, 0.0000000
