s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.1130130, 43129.1750199, 2.9471198, -0.0879077, 10.7539137, -2.1895713
0.9987644, 89655.8684011, 43128.1704776, 2.8592376, -0.0827819, 10.5485984, -3.2171899
1.9975288, 89655.5522294, 43127.2268983, 2.7773190, -0.0827688, 10.2394580, -3.3757039
2.9962932, 89655.1678480, 43126.3315015, 2.6933074, -0.0925977, 9.9047177, -3.3143865
3.9950576, 89654.6965336, 43125.4599460, 2.5978621, -0.0958131, 9.5646668, -3.1538492
4.9938220, 89654.1429470, 43124.6312019, 2.5108999, -0.0756630, 9.2294608, -4.3690031
5.9925864, 89653.5291232, 43123.8588302, 2.4240969, -0.1044968, 8.7438971, -1.3336410
6.9913508, 89652.8227407, 43123.1405105, 2.2975488, -0.1492343, 8.5902125, -0.3426901
7.9901153, 89652.0247415, 43122.5416242, 2.1279992, -0.1641425, 8.5502758, -0.3426901
8.9888797, 89651.1487274, 43122.0791833, 1.9951418, -0.1032222, 8.5101518, 4.1848933
9.9876441, 89650.2151389, 43121.7034511, 1.9216665, -0.0438643, 8.9878879, 4.9213338
10.9864085, 89649.2886052, 43121.3853950, 1.8773096, -0.0595557, 9.5190669, 4.8752533
11.9851729, 89648.3322980, 43121.1183766, 1.8045536, -0.0854539, 10.0175393, 2.9542109
12.9839373, 89647.3282881, 43120.9285241, 1.7081738, -0.1002453, 10.3078715, -0.2982200
13.9827017, 89646.3625412, 43120.8427457, 1.6102107, -0.1025869, 10.2789353, -1.2009181
14.9814661, 89645.3590933, 43120.8558480, 1.5041456, -0.1092713, 10.1615768, -0.4795302
15.9802305, 89644.3414057, 43120.9829672, 1.3873153, -0.1173023, 10.1143348, -0.4795302
16.9789949, 89643.3799754, 43121.2171208, 1.2789104, -0.1025979, 10.0668710, 1.1274940
17.9777593, 89642.4361796, 43121.5525375, 1.1813519, -0.0929568, 10.1781184, 1.8846227
18.9765237, 89641.5253226, 43121.9759529, 1.0907777, -0.0881089, 10.3614035, 2.0375058
19.9752881, 89640.6249185, 43122.4944319, 1.0107981, -0.0624660, 10.5559774, 4.5171707
20.9740525, 89639.7778148, 43123.0579194, 0.9616858, -0.0337085, 10.9750553, 4.7353820
21.9728169, 89638.9971506, 43123.6156252, 0.9446865, 0.0005586, 11.3978463, 4.6910427
22.9715813, 89638.1734110, 43124.2054374, 0.9558340, 0.0146764, 11.8017538, 4.6471185
23.9703458, 89637.3689156, 43124.7642573, 0.9720237, 0.0175503, 12.1886893, 4.6036056
24.9691102, 89636.5664620, 43125.3021769, 0.9876476, 0.0108836, 12.5602540, 4.5605001
25.9678746, 89635.7608016, 43125.8310231, 0.9894928, -0.0060449, 12.9178060, 4.5177982
