s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.0620619, 43129.1651547, 2.9437922, -0.0882411, 10.7058882, -2.1949752
0.9972108, 89655.8132452, 43128.1580921, 2.8561730, -0.0811960, 10.4994446, -3.4160634
1.9944215, 89655.4966433, 43127.2185016, 2.7774965, -0.0781944, 10.1698214, -3.7966155
2.9916323, 89655.1175575, 43126.3277010, 2.6992227, -0.0902703, 9.7904655, -3.2203039
3.9888430, 89654.6550592, 43125.4608008, 2.6016668, -0.1028608, 9.4567739, -2.7068386
4.9860538, 89654.0967936, 43124.6260028, 2.5059691, -0.0840710, 9.1668967, -4.2185282
5.9832646, 89653.4806656, 43123.8642457, 2.4131894, -0.1075919, 8.6958882, -1.3889467
6.9804753, 89652.7636122, 43123.1523818, 2.2847614, -0.1503470, 8.5351231, -0.3383137
7.9776861, 89651.9540098, 43122.5626336, 2.1121192, -0.1662658, 8.4955039, -0.3383137
8.9748968, 89651.0678888, 43122.1135269, 1.9785741, -0.1007908, 8.4556990, 4.4584218
9.9721076, 89650.1373038, 43121.7538116, 1.9119881, -0.0331492, 8.9660927, 4.9231680
10.9693183, 89649.2121965, 43121.4415722, 1.8752532, -0.0561077, 9.4978782, 4.8771421
11.9665291, 89648.2573500, 43121.1764826, 1.8026139, -0.0882990, 9.9968379, 2.7072297
12.9637399, 89647.2600805, 43120.9915105, 1.7030269, -0.1033749, 10.2633389, 0.6171203
13.9609506, 89646.2970250, 43120.9120116, 1.6031440, -0.1042281, 10.3231256, -0.4961017
14.9581614, 89645.2913584, 43120.9330286, 1.4956924, -0.1099493, 10.2750906, -0.4903106
15.9553721, 89644.2754405, 43121.0688240, 1.3789068, -0.1147232, 10.2273946, -0.4903106
16.9525829, 89643.3175467, 43121.3094392, 1.2727097, -0.1012046, 10.1794752, 1.0272816
17.9497937, 89642.3762116, 43121.6500536, 1.1758711, -0.0930571, 10.2796180, 1.6712718
18.9470044, 89641.4677961, 43122.0787660, 1.0843643, -0.0898879, 10.4404869, 1.6909289
19.9442152, 89640.5673194, 43122.6049954, 1.0048770, -0.0608597, 10.6007638, 4.6340595
20.9414259, 89639.7258393, 43123.1706569, 0.9580606, -0.0309822, 11.0280760, 4.7299135
21.9386367, 89638.9541683, 43123.7241667, 0.9448647, 0.0060787, 11.4477903, 4.6856942
22.9358475, 89638.1245427, 43124.3149710, 0.9606883, 0.0193705, 11.8489304, 4.6418884
23.9330582, 89637.3214092, 43124.8644735, 0.9811635, 0.0214211, 12.2333574, 4.5984920
24.9302690, 89636.5196327, 43125.3898577, 0.9987195, 0.0107135, 12.6026332, 4.5555014
25.9274797, 89635.7073545, 43125.9105964, 0.9998374, -0.0072116, 12.9580845, 4.5129127
26.9246905, 89634.8462079, 43126.4712372, 0.9853144, -0.0202664, 13.3008498, 4.4707222
27.9219012, 89634.0157508, 43127.0357887, 0.9614398, -0.0251944, 13.6319151, 4.4289260
28.9191120, 89633.2110088, 43127.6129165, 0.9354922, -0.0273884, 13.9521416, 4.3875207
29.9163228, 89632.4043254, 43128.2257836, 0.9061135, -0.0308264, 14.2622867, 4.3465024
30.9135335, 89631.6163165, 43128.8643716, 0.8727461, -0.0346592, 14.5630209, 3.6552849
31.9107443, 89630.8586744, 43129.5236021, 0.8360953, -0.0385221, 14.8112038, 2.5210307
32.9079550, 89630.1335877, 43130.2054388, 0.7953090, -0.0436794, 14.9799785, 1.1464857
33.9051658, 89629.4408364, 43130.9161133, 0.7492046, -0.0473135, 15.0561061, 0.2120923
34.9023766, 89628.7748716, 43131.6662156, 0.7035500, -0.0434212, 15.0701471, 1.0740585
35.8995873, 89628.1487625, 43132.4359856, 0.6630258, -0.0380280, 15.1410521, 2.2074011
36.8967981, 89627.5532389, 43133.2271649, 0.6284688, -0.0318980, 15.2857432, 3.4516453
37.8940088, 89626.9798873, 43134.0414555, 0.5993854, -0.0265145, 15.5092869, 4.1724782
38.8912196, 89626.4272906, 43134.8720672, 0.5755962, -0.0211893, 15.7752864, 4.1334703
39.8884303, 89625.8920564, 43135.7146971, 0.5570833, -0.0158098, 16.0344487, 4.0948271
40.8856411, 89625.3711414, 43136.5640161, 0.5442028, -0.0100540, 16.2871224, 4.0565452
41.8828519, 89624.8581605, 43137.4195260, 0.5370274, -0.0043398, 16.5336268, 4.0186212
42.8800626, 89624.3484709, 43138.2779641, 0.5354798, 0.0007872, 16.7742553, 3.9810517
43.8772734, 89623.8383574, 43139.1360684, 0.5376685, 0.0036005, 17.0092779, 3.9438334
44.8744841, 89623.3256132, 43139.9915817, 0.5426738, 0.0064446, 17.2389444, 3.9069631
45.8716949, 89622.8078760, 43140.8429674, 0.5504963, 0.0088024, 17.4634857, 3.8704375
46.8689057, 89622.2811355, 43141.6929495, 0.5589596, 0.0081228, 17.6831167, 3.8342534
47.8661164, 89621.7492314, 43142.5359197, 0.5667132, 0.0074327, 17.8980372, 3.7984075
48.8633272, 89621.2120266, 43143.3734888, 0.5737671, 0.0068218, 18.1084334, 3.7628967
49.8605379, 89620.6656347, 43144.2126159, 0.5805868, 0.0068039, 18.3144796, 3.7277180
