wp_x,wp_y
89615.71780001602,43164.41519930652
89631.11780001601,43154.81519930651
89637.81780001601,43135.015199306516
89644.81780001601,43139.015199306516
89638.41780001602,43161.21519930651
89622.41780001602,43178.31519930651
89636.71780001602,43186.21519930651
89651.51780001601,43181.21519930651
89663.81780001601,43177.115199306514
89643.01780001601,43168.71519930651
89659.21780001602,43161.015199306516
89668.11780001601,43168.71519930651
89682.31780001601,43158.71519930651
89674.21780001602,43151.515199306516
89659.21780001602,43144.21519930651
89654.41780001602,43129.41519930652
89645.31780001601,43124.015199306516
89633.21780001602,43122.115199306514
