wp_x,wp_y
89631.11780001601,43129.015199306516
89610.11780001601,43162.31519930651
89618.61780001601,43168.31519930651
89640.11780001601,43133.81519930651
89649.81780001601,43140.015199306516
89628.81780001601,43174.31519930651
89618.41780001602,43175.41519930652
89616.51780001601,43183.71519930651
89629.91780001602,43191.41519930652
89638.61780001601,43178.31519930651
89659.01780001601,43191.015199306516
89667.31780001601,43180.015199306516
89643.41780001602,43173.31519930651
89643.81780001601,43162.91519930652
89659.01780001601,43156.91519930652
89666.11780001601,43163.115199306514
89660.21780001602,43168.31519930651
89667.91780001602,43173.31519930651
89682.71780001602,43160.015199306516
89678.81780001601,43148.515199306516
89671.51780001601,43144.015199306516
89661.11780001601,43149.615199306514
89654.41780001602,43144.81519930651
89659.01780001601,43124.615199306514
89650.01780001601,43117.81519930651
89635.71780001602,43121.515199306516
89630.71780001602,43129.81519930651
89618.61780001601,43148.31519930651
