s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.0477911, 43129.1664606, 2.9126072, -0.0869469, 10.4150359, -2.9823457
0.9990318, 89655.7654594, 43128.1631833, 2.8219356, -0.0870300, 10.1249226, -3.4611928
1.9980637, 89655.4153837, 43127.2406548, 2.7357506, -0.0878054, 9.7774421, -2.7241946
2.9970955, 89654.9965769, 43126.3717570, 2.6460016, -0.1075745, 9.4950123, -1.5183109
3.9961273, 89654.4830787, 43125.5393418, 2.5288239, -0.1249986, 9.3338940, -0.8761824
4.9951592, 89653.8473723, 43124.7435816, 2.4100557, -0.1036980, 9.2396379, -3.3268049
5.9941910, 89653.1374895, 43124.0283724, 2.3102624, -0.1006965, 8.8726400, -2.0120349
6.9932228, 89652.3532361, 43123.3887048, 2.1935024, -0.1383888, 8.6431226, -0.3469237
7.9922546, 89651.4965232, 43122.8732960, 2.0262939, -0.1621394, 8.6029293, -0.3469237
8.9912865, 89650.5855973, 43122.4974926, 1.9170218, -0.0474474, 8.5625473, 4.9563255
9.9903183, 89649.6711051, 43122.1693115, 1.9291466, 0.0252453, 9.1225145, 4.1793061
10.9893501, 89648.7703205, 43121.8369571, 1.9040924, -0.0705120, 9.5692628, -0.4252552
11.9883820, 89647.7789189, 43121.5470364, 1.7958672, -0.1322735, 9.5247626, -0.4252552
12.9874138, 89646.8175466, 43121.3934881, 1.6641958, -0.1276671, 9.4800536, 0.1051014
13.9864456, 89645.8306552, 43121.3616136, 1.5434851, -0.1183625, 9.4911230, 0.9154835
14.9854775, 89644.7966056, 43121.4530841, 1.4219271, -0.1167021, 9.5870021, 0.8430121
15.9845093, 89643.7998705, 43121.6621839, 1.3098018, -0.0980126, 9.6744510, 2.3877875
16.9835411, 89642.8360148, 43121.9680355, 1.2200859, -0.0811289, 9.9179611, 3.5585917
17.9825729, 89641.9100390, 43122.3483662, 1.1432990, -0.0736687, 10.2701629, 3.7352821
18.9816048, 89640.9978375, 43122.8055619, 1.0704994, -0.0641822, 10.6273034, 4.2218856
19.9806366, 89640.1055010, 43123.3271372, 1.0182834, -0.0345756, 11.0170401, 4.7310539
20.9796684, 89639.2901961, 43123.8417228, 1.0041547, 0.0083723, 11.4380121, 4.6867432
21.9787003, 89638.4640194, 43124.3544095, 1.0292620, 0.0265507, 11.8402927, 4.6428475
22.9777321, 89637.6146964, 43124.8532890, 1.0471835, 0.0087094, 12.2257612, 4.5993630
23.9767639, 89636.7516849, 43125.3503214, 1.0463254, -0.0090776, 12.5959937, 4.5562857
24.9757958, 89635.9290914, 43125.8325808, 1.0334133, -0.0175027, 12.9523282, 4.5136118
25.9748276, 89635.0648839, 43126.3593748, 1.0122159, -0.0241139, 13.2959125, 4.4713377
26.9738594, 89634.1990660, 43126.9167437, 0.9846097, -0.0286713, 13.6277403, 4.4294595
27.9728912, 89633.3846001, 43127.4747755, 0.9552076, -0.0310729, 13.9486791, 4.3879735
28.9719231, 89632.5719103, 43128.0695580, 0.9221787, -0.0347371, 14.2594915, 3.9836729
29.9709549, 89631.7760842, 43128.6961911, 0.8846091, -0.0388014, 14.5359118, 2.8111047
30.9699867, 89631.0120526, 43129.3471299, 0.8457035, -0.0387803, 14.7278477, 2.5714203
31.9690186, 89630.2772720, 43130.0241558, 0.8068022, -0.0391520, 14.9012536, 2.2655483
32.9680504, 89629.5736374, 43130.7251964, 0.7675611, -0.0397707, 15.0523775, 1.9269194
33.9670822, 89628.8905532, 43131.4612554, 0.7291306, -0.0366761, 15.1797291, 2.4688296
34.9661141, 89628.2389152, 43132.2172460, 0.6942600, -0.0331270, 15.3413511, 3.1000844
35.9651459, 89627.6148164, 43132.9915132, 0.6632243, -0.0292374, 15.5419182, 3.8053952
36.9641777, 89627.0102039, 43133.7882407, 0.6356213, -0.0259830, 15.7846331, 4.1320876
37.9632095, 89626.4270866, 43134.5995701, 0.6112735, -0.0227534, 16.0440275, 4.0933868
38.9622414, 89625.8633550, 43135.4227644, 0.5901785, -0.0195338, 16.2969219, 4.0550484
39.9612732, 89625.3142951, 43136.2589985, 0.5724032, -0.0159658, 16.5436365, 4.0170692
40.9603050, 89624.7792900, 43137.1028818, 0.5582641, -0.0123295, 16.7844651, 3.9794456
41.9593369, 89624.2555359, 43137.9519516, 0.5477884, -0.0086667, 17.0196785, 3.9421744
42.9583687, 89623.7376516, 43138.8081436, 0.5407025, -0.0055713, 17.2495267, 3.9052523
43.9574005, 89623.2251594, 43139.6661781, 0.5366452, -0.0025427, 17.4742414, 3.8686760
44.9564324, 89622.7159771, 43140.5236062, 0.5356313, 0.0005165, 17.6940378, 3.8324423
45.9554642, 89622.2048376, 43141.3833782, 0.5375700, 0.0033180, 17.9091161, 3.7965479
46.9544960, 89621.6914268, 43142.2404836, 0.5422669, 0.0060873, 18.1196629, 3.7609898
47.9535278, 89621.1736129, 43143.0931430, 0.5497237, 0.0088626, 18.3258528, 0.5771786
48.9525597, 89620.6472499, 43143.9431040, 0.5594659, 0.0104353, 18.3572906, -9.7424510
49.9515915, 89620.1122838, 43144.7871589, 0.5705726, 0.0117974, 17.8192054, -9.4633247
50.9506233, 89619.5681303, 43145.6237439, 0.5830353, 0.0131823, 17.2805022, -9.4354649
51.9496552, 89619.0135393, 43146.4537185, 0.5941142, 0.0079872, 16.7261202, -11.0653606
52.9486870, 89618.4522638, 43147.2793862, 0.5988701, 0.0015395, 16.0515981, -11.9573473
53.9477188, 89617.8888760, 43148.1054242, 0.5971969, -0.0048700, 15.2892858, -10.8297615
54.9467507, 89617.3329258, 43148.9288810, 0.5896287, -0.0102043, 14.5644673, -9.9888041
55.9457825, 89616.7833548, 43149.7609623, 0.5769594, -0.0151535, 13.8623750, -9.3847669
56.9448143, 89616.2423509, 43150.6076933, 0.5593785, -0.0197684, 13.1686780, -8.1778882
57.9438461, 89615.7236844, 43151.4569855, 0.5355016, -0.0290207, 12.5329222, -7.0585193
58.9428780, 89615.2280468, 43152.3240243, 0.5014129, -0.0392504, 11.9570384, -6.1251456
59.9419098, 89614.7647493, 43153.2139549, 0.4568341, -0.0496255, 11.4338242, -5.4507998
