s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.3124029, 43129.1596191, 2.9603292, -0.0750141, 9.4603104, -3.5607509
0.9974967, 89656.0858116, 43128.1542626, 2.8776468, -0.0857836, 9.0771030, -3.4135345
1.9949934, 89655.7856614, 43127.2119517, 2.7867252, -0.0984171, 8.6938956, -2.3287527
2.9924900, 89655.4038040, 43126.3212464, 2.6831655, -0.1193173, 8.4224684, -0.7000401
3.9899867, 89654.9157471, 43125.4706368, 2.5552460, -0.1371563, 8.3391486, -0.6930805
4.9874834, 89654.3006379, 43124.6701206, 2.4192044, -0.1278972, 8.2558287, 0.0506532
5.9849801, 89653.6028457, 43123.9645436, 2.3103878, -0.0934636, 8.2619465, 0.1527505
6.9824768, 89652.8256436, 43123.3161577, 2.2239158, -0.0806382, 8.2803681, 0.4484250
7.9799735, 89652.0043757, 43122.7392051, 2.1412713, -0.0895294, 8.3342127, 2.3719719
8.9774701, 89651.1104027, 43122.2292871, 2.0308369, -0.1255914, 8.6134296, 2.4501296
9.9749668, 89650.2148621, 43121.8573213, 1.8930178, -0.1567032, 8.8926465, 2.5092039
10.9724635, 89649.2942515, 43121.6257194, 1.7436098, -0.1454335, 9.1697877, 2.5769009
11.9699602, 89648.3175818, 43121.5191843, 1.6231595, -0.0979750, 9.4459466, 2.5365406
12.9674569, 89647.2950942, 43121.5083302, 1.5473336, -0.0539554, 9.7101127, 2.2096137
13.9649536, 89646.3420867, 43121.5516629, 1.5066429, -0.0332894, 9.9345082, 2.2600934
14.9624502, 89645.3288885, 43121.6314362, 1.4800364, -0.0200443, 10.1589037, 2.2548577
15.9599469, 89644.2916231, 43121.7349949, 1.4636087, -0.0162269, 10.3779454, 2.1148307
16.9574436, 89643.2938546, 43121.8532836, 1.4392832, -0.0323797, 10.5792639, 2.1554616
17.9549403, 89642.3012003, 43122.0040729, 1.3976480, -0.0513003, 10.7805824, 2.1960924
18.9524370, 89641.3373353, 43122.2016060, 1.3355790, -0.0763042, 10.9819008, 2.4266097
19.9499337, 89640.3399516, 43122.4833150, 1.2549611, -0.0791949, 11.2001436, 2.4744025
20.9474303, 89639.4066345, 43122.8300639, 1.1747454, -0.0818979, 11.4183901, 2.5365784
21.9449270, 89638.5357697, 43123.2356214, 1.0947576, -0.0842891, 11.6378731, 2.9199210
22.9424237, 89637.6630112, 43123.7318453, 1.0146792, -0.0734441, 11.8855085, 2.9813983
23.9399204, 89636.8402040, 43124.2822428, 0.9509749, -0.0541914, 12.1331440, 3.1058281
24.9374171, 89636.0500227, 43124.8742544, 0.9075317, -0.0383449, 12.3858504, 3.3055804
25.9349138, 89635.2869171, 43125.4937859, 0.8703832, -0.0372537, 12.6492648, 3.3751417
26.9324104, 89634.5290751, 43126.1571219, 0.8333874, -0.0362215, 12.9126793, 3.4948210
27.9299071, 89633.7991629, 43126.8443537, 0.7982692, -0.0323313, 13.1798873, 3.6206270
28.9274038, 89633.0994498, 43127.5470368, 0.7692788, -0.0263499, 13.4511173, 3.6943773
29.9249005, 89632.4091417, 43128.2778483, 0.7453625, -0.0213804, 13.7223473, 3.7905475
30.9223972, 89631.7357071, 43129.0223535, 0.7257875, -0.0183241, 13.9951753, 3.8902946
31.9198939, 89631.0804372, 43129.7741558, 0.7082564, -0.0168600, 14.2697598, 3.9658804
32.9173905, 89630.4371683, 43130.5377720, 0.6920912, -0.0155429, 14.5443442, 3.9829875
33.9148872, 89629.4057841, 43131.3113731, 0.6770626, -0.0148975, 14.8149918, 3.9709336
34.9123839, 89629.0062705, 43132.0939772, 0.6621148, -0.0150486, 15.0799857, 4.0413316
35.9098806, 89628.0793374, 43132.8847935, 0.6470506, -0.0151687, 15.3449796, 4.0479714
36.9073773, 89627.4843637, 43133.6847578, 0.6320179, -0.0144782, 15.6058987, 3.9966640
37.9048740, 89627.0003285, 43134.4939962, 0.6186327, -0.0123479, 15.8592999, 4.0610373
38.9023706, 89626.3266617, 43135.3098647, 0.6073752, -0.0102274, 16.1127011, 4.0772440
39.8998673, 89626.2113279, 43136.1315748, 0.5982079, -0.0082589, 16.3631663, 4.0256108
40.8973640, 89625.222026, 43136.9588272, 0.5907745, -0.0066288, 16.6067540, 4.0850947
41.8948607, 89625.1492987, 43137.7886529, 0.5849803, -0.0049909, 16.8503417, 4.0713198
42.8923574, 89624.6006579, 43138.6210259, 0.5808222, -0.0033691, 17.0896539, 3.9139577
43.8898541, 89624.0537679, 43139.4568539, 0.5782345, -0.0018099, 17.3165987, 3.9655909
44.8873507, 89623.5093371, 43140.2922122, 0.5772121, -0.0002381, 17.5435435, 2.9889977
45.8848474, 89622.9654909, 43141.1271073, 0.5777454, 0.0011819, 17.7126776, -0.4519156
46.8823441, 89622.4195590, 43141.9631467, 0.5793588, 0.0020506, 17.6872095, -0.4512653
47.8798408, 89621.8727094, 43142.7968604, 0.5818374, 0.0029217, 17.6617414, -1.6666268
48.8773375, 89621.3236286, 43143.6286876, 0.5851497, 0.0034806, 17.5673617, -5.9897569
49.8748342, 89620.7709021, 43144.4599543, 0.5883420, 0.0029152, 17.2238983, -5.8714937
50.8723308, 89620.2162538, 43145.2888713, 0.5909679, 0.0023502, 16.8804349, -6.5732118
51.8698275, 89619.6601433, 43146.1157766, 0.5930170, 0.0016812, 16.4874367, -9.3536006
52.8673242, 89619.1025949, 43146.9418991, 0.5941665, 0.0006240, 15.9114800, -9.0210420
53.8648209, 89618.5442164, 43147.7681428, 0.5942606, -0.0004340, 15.3355234, -8.7055225
54.8623176, 89617.9861849, 43148.5946579, 0.5931773, -0.0026949, 14.7584152, -8.4320298
55.8598143, 89617.4330491, 43149.4194772, 0.5871839, -0.0093410, 14.1770581, -8.0932055
56.8573109, 89616.8848794, 43150.2535381, 0.5746282, -0.0157692, 13.5957009, -7.6792778
57.8548076, 89616.3481868, 43151.0988379, 0.5557157, -0.0222652, 13.0200989, -7.0278424
58.8523043, 89615.8345225, 43151.9493327, 0.5296092, -0.0302769, 12.4700632, -6.7245439
59.8498010, 89615.3442741, 43152.8193336, 0.4953521, -0.0383353, 11.9200275, -6.3942403
60.8472977, 89614.8866546, 43153.7095849, 0.4529252, -0.0462849, 11.3723607, -5.8600029
61.8447944, 89614.4736769, 43154.6127192, 0.4037937, -0.0526251, 10.8461939, -5.5824565
62.8422910, 89614.1071226, 43155.5397719, 0.3482597, -0.0587069, 10.3200271, -5.3049102
63.8397877, 89613.7937834, 43156.4920930, 0.2865519, -0.0642530, 9.7938602, -6.3121406
64.8372844, 89613.5394768, 43157.4695330, 0.2228813, -0.0622696, 9.1283634, -5.8961867
65.8347811, 89613.3483996, 43158.4551930, 0.1597761, -0.0641131, 8.4595606, -5.4477669
66.8322778, 89613.2235012, 43159.4300348, 0.0940317, -0.0705396, 7.7907578, -2.9518538
67.8297745, 89613.1677655, 43160.4868612, 0.0058295, -0.1009280, 7.4031735, -2.4775279
68.8272711, 89613.2208464, 43161.4879382, -0.1214957, -0.1595822, 7.0614677, -2.1586316
69.8247678, 89613.4147893, 43162.3982347, -0.3143209, -0.2553259, 6.7496571, -0.7671596
70.8222645, 89613.8423887, 43163.2922390, -0.5782143, -0.2564183, 6.6353140, -0.7540524
71.8197612, 89614.4740606, 43164.0535202, -0.7920876, -0.1680949, 6.5209710, -0.6593917
72.8172579, 89615.2298959, 43164.6995008, -0.9265996, -0.1141140, 6.4193131, -0.6368716
73.8147546, 89616.0703942, 43165.2618144, -1.0339106, -0.1032707, 6.3195748, 0.1260589
74.8122512, 89616.9609822, 43165.7274452, -1.1522171, -0.1521910, 6.3394410, 1.1396664
75.8097479, 89617.8944510, 43166.0458583, -1.3452703, -0.2315421, 6.5162980, 1.4291008
76.8072446, 89618.8531565, 43166.1514645, -1.5766907, -0.2298181, 6.7315070, 2.5030884
77.8047413, 89619.7767314, 43166.0536435, -1.7687535, -0.1836514, 7.0927308, 2.6338985
78.8022380, 89620.7720002, 43165.7617044, -1.9359909, -0.1403936, 7.4539547, 2.3898426
79.7997347, 89621.6945159, 43165.3385933, -2.0582057, -0.0983381, 7.7671849, 2.2383751
80.7972313, 89622.5511724, 43164.8350087, -2.1423484, -0.0744488, 8.0495158, 2.3182859
81.7947280, 89623.3906385, 43164.2512282, -2.2131013, -0.0659811, 8.3318467, 2.3925282
82.7922247, 89624.1878619, 43163.6116769, -2.2812423, -0.0690255, 8.6135212, 2.4601542
83.7897214, 89624.9306669, 43162.9248997, -2.3535150, -0.0732187, 8.8938596, 2.5389411
84.7872181, 89625.6043304, 43162.2043360, -2.4261302, -0.0732361, 9.1741980, 2.6881324
85.7847148, 89626.2208948, 43161.4420404, -2.4960902, -0.0682578, 9.4619615, 3.1057859
86.7822114, 89626.7945681, 43160.6264737, -2.5595762, -0.0592083, 9.7839020, 3.2096917
87.7797081, 89627.3197648, 43159.7772023, -2.6145630, -0.0510648, 10.1058425, 3.3505151
88.7772048, 89627.8003112, 43158.9034065, -2.6618050, -0.0438885, 10.4313138, 3.8687621
89.7747015, 89628.2430318, 43158.0072785, -2.7026088, -0.0376544, 10.7949276, 4.0013090
